"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jericho Sims","Mil","*","C","27.1","16","11.3","7.4","35.3","6","0.667","18","0.778","0","0","0.778","0.775","2","2.8","0.7","0.2","0.3","0.6","4.8","2.7","5.4","5.6","135.7","109.7"
"","Hunter Dickinson","Nor","*","C","25","1","4.7","35.6","50","0","0","2","0.5","0","0","0.5","0.5","2","0","0","0","1","2","2","2","2","0","43.1","84.3"
"","Tyus Jones","Orl","*","G","29.6","21","13.9","8.8","11.4","2","1","22","0.409","32","0.219","0.361","0.374","2","0.9","2.1","0.7","0.1","0.3","2.8","4","4.9","4.5","103.3","112.6"
"","Rasheer Fleming","Pho","*","F","21.4","11","5.4","18.8","11.8","4","1","9","0.444","13","0.231","0.386","0.442","1.9","1.2","0.2","0.1","0.1","0.3","3.1","2.1","3.3","5.7","102.3","106.7"
"","PJ Hall","Mem","*","C","23.8","7","3.8","17.6","9.7","3","0.667","6","0.667","3","0.333","0.611","0.63","1.9","1.3","0.3","0","0.3","0.1","3.1","2.1","3.4","9.5","0","0"
"","Cody Martin","Ind","*","F","30.2","4","13.8","12.4","28.1","6","0.5","5","0.4","5","0","0.2","0.277","1.8","3.5","0.5","1","0.5","1","5.3","2.3","5.8","4.2","54.8","106"
"","Rayan Rupert","Por","*","G-F","21.5","13","7.9","13","21.7","4","0.5","12","0.417","13","0.308","0.44","0.448","1.8","1.8","0.3","0.5","0.1","0.5","3.7","2.2","4","5","82.1","104.9"
"","Bronny James","Lal","*","G","21.2","12","9.8","13.9","24","2","1","16","0.313","12","0.25","0.339","0.364","1.8","0.8","1.7","0.7","0.1","0.8","2.5","3.4","4.2","5.5","89.1","108.4"
"","Taelon Peter","Ind","*","G","23.8","13","7.8","15.1","22.6","5","0.8","2","0.5","25","0.24","0.37","0.411","1.8","1.2","1.1","0.2","0.2","0.6","3","2.9","4.1","6.8","88.3","116.3"
"","Nolan Traore","Bro","*","G","19.5","4","8.8","14.6","17.8","2","0.5","3","0","6","0.333","0.333","0.354","1.8","0.3","1.3","0.5","0","0.5","2","3","3.3","4","82.6","110.8"
"","Tyson Etienne","Bro","*","G","20","7","4.7","20.9","6.3","0","0","2","0","13","0.308","0.4","0.4","1.7","0","0","0","0","0.1","1.7","1.7","1.7","0","77.4","117.3"
"","Leonard Miller","Min","*","F","22","9","4.3","20","24.6","5","0.6","7","0.857","5","0","0.5","0.528","1.7","1.2","0.4","0.2","0","0.4","2.9","2.1","3.3","8.7","94.9","93"
"","Dylan Cardwell","Sac","*","C","24","3","10.8","11.6","24.3","2","0.5","5","0.4","1","0","0.333","0.363","1.7","1.7","0","0.7","1","0.7","3.3","1.7","3.3","0","71.4","90.7"
